죄 종,발생건수,검거건수,"발생대비
검거건수(%)",검거인원,법인체,범죄 분류
절도범죄,"48,262","33,990",70.4,"27,202",3,대분류
특별경제범죄,"13,787","11,946",86.6,"15,252",828,대분류
마약범죄,"4,901","4,573",93.3,"5,484",2,대분류
보건범죄,"2,975","2,863",96.2,"5,213",67,대분류
환경범죄,834,767,92.0,932,367,대분류
교통범죄,"59,893","58,129",97.1,"59,653",423,대분류
노동범죄,151,134,88.7,247,17,대분류
안보범죄,65,43,66.2,176,0,대분류
선거범죄,335,324,96.7,596,4,대분류
병역범죄,"1,650","1,327",80.4,"1,333",3,대분류
기타범죄,"57,891","50,680",87.5,"63,554","1,133",대분류
살인기수,72,69,95.8,75,0,소분류
살인미수등,128,123,96.1,129,0,소분류
강도,141,139,98.6,229,0,소분류
강간,"1,289","1,210",93.9,"1,296",1,소분류
유사강간,245,221,90.2,228,0,소분류
강제추행,"4,109","3,870",94.2,"3,946",1,소분류
기타 강간/강제추행,47,43,91.5,51,0,소분류
방등화,333,308,92.5,319,0,소분류
상해,"5,893","5,750",97.6,"7,113",0,소분류
폭행,"30,543","29,333",96.0,"38,426",0,소분류
체포/감금,290,276,95.2,378,0,소분류
협박,"5,464","5,285",96.7,"5,765",0,소분류
약취/유인,101,97,96.0,131,0,소분류
폭력행위등,"2,129","2,066",97.0,"7,840",0,소분류
공갈,"1,730",781,45.1,"1,095",0,소분류
손괴,"13,288","8,708",65.5,"9,137",6,소분류
직무유기,346,122,35.3,314,9,소분류
직권남용,374,133,35.6,357,0,소분류
증수뢰,61,48,78.7,139,2,소분류
문서/인장,"3,395","2,632",77.5,"3,781",16,소분류
유가증권인지,6,6,100.0,14,0,소분류
사기,"90,980","53,241",58.5,"49,527",118,소분류
횡령,"15,704","7,752",49.4,"8,772",8,소분류
배임,942,822,87.3,"1,721",9,소분류
성풍속범죄,"5,150","4,531",88.0,"4,852",1,소분류
도박범죄,"1,302","1,223",93.9,"3,356",1,소분류
강력범죄 (소계),"6,364","5,983",94.0,"6,273",2,대분류 별 소계
폭력범죄 (소계),"59,438","52,296",88.0,"69,885",6,대분류 별 소계
지능범죄 (소계),"111,938","64,768",57.9,"64,640",162,대분류 별 소계
지능범죄 (통화),130,12,9.2,15,0,대분류 별 소계
풍속범죄 (소계),"6,452","5,754",89.2,"8,208",2,대분류 별 소계
총 계,"374,936","293,577",78.3,"328,648","3,019",대분류
