죄 종,발생건수,검거건수,"발생대비 검거건수(%)",검거인원,법인체
살인기수,72,69,95.8,69,69
살인미수등,128,123,96.1,123,123
강도,141,139,98.6,139,139
강간,1289,1210,93.9,1210,1210
유사강간,245,221,90.2,221,221
강제추행,4109,3870,94.2,3870,3870
기타 강간/강제추행,47,43,91.5,43,43
방등화,333,308,92.5,308,308
상해,5893,5750,97.6,5750,5750
폭행,30543,29333,96.0,29333,29333
체포/감금,290,276,95.2,276,276
협박,5464,5285,96.7,5285,5285
약취/유인,101,97,96.0,97,97
폭력행위등,2129,2066,97.0,2066,2066
공갈,1730,781,45.1,781,781
손괴,13288,8708,65.5,8708,8708
직무유기,346,122,35.3,122,122
직권남용,374,133,35.6,133,133
증수뢰,61,48,78.7,48,48
문서/인장,3395,2632,77.5,2632,2632
유가증권인지,6,6,100.0,6,6
사기,90980,53241,58.5,53241,53241
횡령,15704,7752,49.4,7752,7752
배임,942,822,87.3,822,822
성풍속범죄,5150,4531,88.0,4531,4531
도박범죄,1302,1223,93.9,1223,1223
