죄 종,발생건수,검거건수,"발생대비 검거건수(%)",검거인원,법인체
살인기수,69,71,102.9,71,71
살인미수등,140,122,87.1,122,122
강도,136,131,96.3,131,131
강간,1314,1301,99.0,1301,1301
유사강간,233,227,97.4,227,227
강제추행,3991,3796,95.1,3796,3796
기타 강간/강제추행등,41,40,97.6,40,40
방화,245,226,92.2,226,226
상해,5316,5159,97.0,5159,5159
폭행,28538,27788,97.4,27788,27788
체포/감금,214,201,93.9,201,201
협박,6008,5790,96.4,5790,5790
약취/유인,76,76,100.0,76,76
폭력행위등,1421,1349,94.9,1349,1349
공갈,1689,621,36.8,621,621
손괴,14076,8342,59.3,8342,8342
직무유기,297,204,68.7,204,204
직권남용,516,275,53.3,275,275
증수뢰,67,82,122.4,82,82
통화,102,9,8.8,9,9
문서/인장,3059,2494,81.5,2494,2494
유가증권인지,12,9,75.0,9,9
사기,88651,49815,56.2,49815,49815
횡령,17410,8077,46.4,8077,8077
배임,931,935,100.4,935,935
성풍속범죄,4607,4084,88.6,4084,4084
도박범죄,1795,1740,96.9,1740,1740
