죄 종,발생건수,검거건수,"발생대비 검거건수(%)",검거인원,법인체
절도범죄,48392,35178,72.7,35178,35178
특별경제범죄,15713,13207,84.1,13207,13207
마약범죄,4867,4788,98.4,4788,4788
보건범죄,2438,2398,98.4,2398,2398
환경범죄,785,746,95.0,746,746
교통범죄,59214,57300,96.8,57300,57300
노동범죄,162,146,90.1,146,146
안보범죄,54,47,87.0,47,47
선거범죄,230,234,101.7,234,234
병역범죄,2404,2108,87.7,2108,2108
기타범죄,58681,51522,87.8,51522,51522
살인기수,83,81,97.6,81,81
살인미수등,144,139,96.5,139,139
강도,149,148,99.3,148,148
강간,1343,1261,93.9,1261,1261
유사강간,224,223,99.6,223,223
강제추행,4523,4236,93.7,4236,4236
기타 강간/강제추행등,51,56,109.8,56,56
방화,280,254,90.7,254,254
상해,5814,5681,97.7,5681,5681
폭행,30519,29554,96.8,29554,29554
체포/감금,278,265,95.3,265,265
협박,6384,6134,96.1,6134,6134
약취/유인,92,82,89.1,82,82
폭력행위등,1651,1602,97.0,1602,1602
공갈,1940,838,43.2,838,838
손괴,13567,9038,66.6,9038,9038
직무유기,359,172,47.9,172,172
직권남용,677,202,29.8,202,202
증수뢰,57,54,94.7,54,54
통화,135,23,17.0,23,23
문서/인장,3109,2439,78.4,2439,2439
유가증권인지,12,10,83.3,10,10
사기,88811,51441,57.9,51441,51441
횡령,16553,7899,47.7,7899,7899
배임,873,805,92.2,805,805
성풍속범죄,5179,4495,86.8,4495,4495
도박범죄,1524,1491,97.8,1491,1491
강력범죄 (소계),6797,6398,94.1,6398,6398
폭력범죄 (소계),60245,53194,88.3,53194,53194
지능범죄 (소계),110586,63045,57.0,63045,63045
풍속범죄 (소계),6703,5986,89.3,5986,5986
총 계,377271,296297,78.5,296297,296297
