죄종,발생건수,검거건수,"발생대비
검거건수(%)",검거인원,법인체,범죄 분류
절도범죄,"44,229","29,427",66.5,"22,691",4,대분류
특별경제범죄,"22,383","17,981",80.3,"19,450",660,대분류
마약범죄,"2,070","1,885",91.1,"2,434",3,대분류
보건범죄,"2,423","2,355",97.2,"3,344",56,대분류
환경범죄,646,606,93.8,689,257,대분류
교통범죄,"56,082","54,051",96.4,"55,245",379,대분류
노동범죄,85,73,85.9,111,13,대분류
안보범죄,56,49,87.5,110,2,대분류
선거범죄,101,65,64.4,113,1,대분류
병역범죄,"2,477","1,862",75.2,"1,812",3,대분류
기타범죄,"55,271","47,661",86.2,"57,264","1,077",대분류
살인기수,73,71,97.3,81,0,소분류
살인미수등,112,110,98.2,118,1,소분류
강도,118,118,100,172,0,소분류
강간,"1,230","1,188",96.6,"1,288",0,소분류
유사강간,225,213,94.7,229,0,소분류
강제추행,"3,608","3,419",94.8,"3,497",0,소분류
기타 강간/강제추행등,39,38,97.4,52,0,소분류
방화,260,236,90.8,241,0,소분류
상해,"4,926","4,763",96.7,"5,761",0,소분류
폭행,"27,511","26,532",96.4,"34,499",2,소분류
체포/감금,239,222,92.9,286,0,소분류
협박,"5,583","5,253",94.1,"5,676",1,소분류
약취/유인,63,57,90.5,88,0,소분류
폭력행위등,"1,385","1,328",95.9,"4,398",0,소분류
공갈,"1,765",658,37.3,860,1,소분류
손괴,"11,501","7,448",64.8,"7,898",4,소분류
직무유기,276,169,61.2,366,2,소분류
직권남용,422,209,49.5,427,1,소분류
증수뢰,72,61,84.7,145,0,소분류
통화,128,14,10.9,18,0,소분류
문서/인장,"3,482","2,632",75.6,"3,540",9,소분류
유가증권인지,24,20,83.3,28,0,소분류
사기,"107,222","53,809",50.2,"50,575",93,소분류
횡령,"15,974","8,100",50.7,"8,898",12,소분류
배임,960,862,89.8,"1,600",12,소분류
성풍속범죄,"4,227","3,318",78.5,"3,420",11,소분류
도박범죄,"1,660","1,499",90.3,"3,342",0,소분류
강력범죄 (소계),"5,665","5,393",95.2,"5,678",1,대분류 별 소계
폭력범죄 (소계),"52,973","46,261",87.3,"59,466",8,대분류 별 소계
지능범죄 (소계),"128,560","65,876",51.2,"65,597",129,대분류 별 소계
풍속범죄 (소계),"5,887","4,817",81.8,"6,762",11,대분류 별 소계
총 계,"378,908","278,362",73.5,"300,766","2,604",대분류
