지역,살인기수,살인미수등,강도,강간,유사강간,강제추행,기타강간강제추행등,방화,절도범죄,상해,폭행,체포감금,협박,약취유인,폭력행위등,공갈,손괴,직무유기,직권남용,증수뢰,통화,문서인장,유가증권인지,사기,횡령,배임,성풍속범죄,도박범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
서울,45,97,139,1159,180,5002,59,293,39182,5119,34321,202,3089,48,1697,769,10845,147,191,62,450,2520,61,54270,15958,1009,3902,809,13821,1544,2886,65,61132,183,29,213,3383,41780
부산,26,27,86,323,46,1083,13,108,14373,3709,10409,78,1104,11,696,373,3527,44,46,66,47,830,14,22724,3611,290,1010,1212,4101,768,1441,532,22894,59,0,80,632,19334
대구,9,21,44,246,29,693,19,69,8169,2520,6821,53,741,5,397,143,2694,22,18,6,44,528,52,12040,2192,119,535,242,2187,266,357,11,22200,144,5,63,490,8076
인천,23,21,37,362,44,1160,19,77,9473,1839,11711,117,1085,15,693,320,3570,20,18,14,96,540,9,15130,3350,189,970,262,3800,558,452,61,18173,29,4,59,1010,12918
광주,10,8,27,197,24,481,18,27,4832,1039,5004,38,368,3,300,99,1415,15,13,12,35,311,0,7084,1425,82,350,127,1210,56,250,5,13779,12,2,42,263,4552
대전,4,11,51,175,20,532,9,46,5540,1012,5713,36,602,2,202,142,1497,13,22,13,57,351,2,7938,1348,75,632,142,1262,105,173,20,11967,67,0,26,448,5199
울산,9,2,26,108,11,301,8,31,3349,1127,3757,19,299,2,248,81,1264,9,10,4,5,261,7,6233,807,87,187,114,938,52,77,50,9956,17,1,48,212,4672
세종,2,3,5,25,4,61,2,4,588,130,301,2,69,0,22,11,176,16,6,1,3,40,0,1040,213,5,31,15,177,21,9,5,1398,2,0,8,115,646
경기 고양,3,10,7,77,14,260,5,24,2262,480,3056,23,319,4,158,81,903,9,6,4,28,187,5,4794,1482,57,270,85,953,93,190,68,7349,30,1,20,348,3292
경기 과천,0,0,0,1,1,17,1,1,175,27,122,0,14,0,3,2,43,3,6,1,1,6,0,248,63,14,13,25,38,1,8,0,607,0,0,4,14,318
경기 광명,1,1,7,20,6,103,0,6,1027,164,980,5,95,3,54,24,301,2,1,0,3,41,0,1321,365,6,68,31,376,26,64,8,2169,15,0,6,83,982
경기 광주,2,4,3,19,3,61,2,9,812,149,1122,9,152,1,38,17,378,1,6,2,2,51,0,1592,317,25,100,28,286,17,88,46,3071,7,0,8,112,1203
경기 구리,2,2,5,18,0,81,1,0,833,144,967,2,86,2,51,18,281,1,3,0,9,26,0,896,238,11,55,28,213,9,48,6,1578,9,0,9,63,763
경기 군포,0,3,0,18,3,62,0,3,658,104,712,3,80,3,38,7,252,0,2,0,1,26,0,1026,246,19,62,14,237,15,56,4,1267,2,0,9,38,689
경기 김포,1,1,4,25,2,83,1,7,1010,159,1181,7,113,1,53,21,404,2,1,2,7,61,0,2027,501,38,73,12,404,24,59,16,3289,4,1,4,58,1415
경기 남양주,3,4,3,37,8,165,0,21,1274,327,1694,21,176,0,91,54,619,5,5,1,8,75,1,2058,540,37,98,42,500,39,154,102,4339,63,0,9,303,2685
