죄 종,발생건수,검거건수,"발생대비
검거건수(%)",검거인원,법인체,범죄 분류
살인기수,72,69,95.8,75,0,소분류
살인미수등,128,123,96.1,129,0,소분류
강도,141,139,98.6,229,0,소분류
강간,"1,289","1,210",93.9,"1,296",1,소분류
유사강간,245,221,90.2,228,0,소분류
강제추행,"4,109","3,870",94.2,"3,946",1,소분류
기타 강간/강제추행,47,43,91.5,51,0,소분류
방등화,333,308,92.5,319,0,소분류
상해,"5,893","5,750",97.6,"7,113",0,소분류
폭행,"30,543","29,333",96.0,"38,426",0,소분류
체포/감금,290,276,95.2,378,0,소분류
협박,"5,464","5,285",96.7,"5,765",0,소분류
약취/유인,101,97,96.0,131,0,소분류
폭력행위등,"2,129","2,066",97.0,"7,840",0,소분류
공갈,"1,730",781,45.1,"1,095",0,소분류
손괴,"13,288","8,708",65.5,"9,137",6,소분류
직무유기,346,122,35.3,314,9,소분류
직권남용,374,133,35.6,357,0,소분류
증수뢰,61,48,78.7,139,2,소분류
문서/인장,"3,395","2,632",77.5,"3,781",16,소분류
유가증권인지,6,6,100.0,14,0,소분류
사기,"90,980","53,241",58.5,"49,527",118,소분류
횡령,"15,704","7,752",49.4,"8,772",8,소분류
배임,942,822,87.3,"1,721",9,소분류
성풍속범죄,"5,150","4,531",88.0,"4,852",1,소분류
도박범죄,"1,302","1,223",93.9,"3,356",1,소분류
