죄종,발생건수,검거건수,"발생대비
검거건수(%)",검거인원,법인체,범죄 분류
살인기수,73,71,97.3,81,0,소분류
살인미수등,112,110,98.2,118,1,소분류
강도,118,118,100,172,0,소분류
강간,"1,230","1,188",96.6,"1,288",0,소분류
유사강간,225,213,94.7,229,0,소분류
강제추행,"3,608","3,419",94.8,"3,497",0,소분류
기타 강간/강제추행등,39,38,97.4,52,0,소분류
방화,260,236,90.8,241,0,소분류
상해,"4,926","4,763",96.7,"5,761",0,소분류
폭행,"27,511","26,532",96.4,"34,499",2,소분류
체포/감금,239,222,92.9,286,0,소분류
협박,"5,583","5,253",94.1,"5,676",1,소분류
약취/유인,63,57,90.5,88,0,소분류
폭력행위등,"1,385","1,328",95.9,"4,398",0,소분류
공갈,"1,765",658,37.3,860,1,소분류
손괴,"11,501","7,448",64.8,"7,898",4,소분류
직무유기,276,169,61.2,366,2,소분류
직권남용,422,209,49.5,427,1,소분류
증수뢰,72,61,84.7,145,0,소분류
통화,128,14,10.9,18,0,소분류
문서/인장,"3,482","2,632",75.6,"3,540",9,소분류
유가증권인지,24,20,83.3,28,0,소분류
사기,"107,222","53,809",50.2,"50,575",93,소분류
횡령,"15,974","8,100",50.7,"8,898",12,소분류
배임,960,862,89.8,"1,600",12,소분류
성풍속범죄,"4,227","3,318",78.5,"3,420",11,소분류
도박범죄,"1,660","1,499",90.3,"3,342",0,소분류
